run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
1 5101.651 0.147 1.941 0.361 0.512 9.985 1341.168 0.284 2.046 0.257 34.083 1502.021 0.075 5.343 2
1 4994.510 0.147 1.941 0.361 0.510 9.978 1535.562 0.295 2.045 0.257 35.591 1502.021 0.146 3.688 2
2 6226.580 0.107 1.033 0.351 0.494 8.850 1848.081 0.306 1.495 0.246 34.063 1366.587 0.484 -20.627 8
2 5751.870 0.139 1.728 0.350 0.493 10.154 1421.958 0.302 1.786 0.247 35.009 1383.167 0.15 -19.067 7
2 6191.287 0.144 1.510 0.337 0.497 9.915 1565.208 0.300 2.008 0.247 35.218 1233.191 0.245 -19.377 5
2 5506.199 0.139 1.788 0.352 0.485 9.817 1480.801 0.306 1.821 0.238 34.949 1350.912 0.106 -18.62 9
2 5550.830 0.150 1.788 0.340 0.485 9.858 1482.574 0.303 2.028 0.243 34.968 1340.708 0.11 -3.277 5
2 5450.341 0.154 2.055 0.342 0.485 9.865 1480.735 0.306 2.028 0.243 34.961 1350.390 0.105 3.06 4
2 5395.268 0.148 1.773 0.352 0.496 9.908 1482.784 0.302 1.818 0.248 35.386 1358.805 0.116 -18.566 6
2 5726.477 0.149 1.584 0.341 0.492 9.886 1519.413 0.300 2.026 0.252 35.266 1231.858 0.208 -19.246 5
2 5456.641 0.138 1.797 0.349 0.486 10.174 1479.568 0.321 2.010 0.247 35.008 1350.390 0.104 -18.588 7
2 5508.341 0.150 1.788 0.340 0.485 9.860 1482.574 0.303 2.028 0.243 34.970 1350.804 0.106 -3.043 5
2 5448.266 0.150 2.039 0.343 0.493 9.857 1482.508 0.303 2.028 0.243 34.980 1359.399 0.106 2.984 4
2 5503.488 0.149 1.799 0.342 0.496 9.917 1429.700 0.306 1.822 0.246 34.963 1358.493 0.103 -18.544 6
2 5799.568 0.144 2.001 0.339 0.492 9.895 1515.261 0.295 1.930 0.243 35.268 1227.956 0.181 -1.031 4
2 5557.728 0.148 1.772 0.364 0.492 9.907 1482.784 0.281 2.022 0.257 35.374 1344.965 0.116 -4.038 5
2 5755.392 0.146 2.001 0.350 0.495 10.148 1543.860 0.288 1.962 0.252 35.559 1275.157 0.152 1.887 4
2 5535.497 0.149 1.740 0.343 0.478 9.916 1513.386 0.294 2.019 0.243 35.517 1347.239 0.13 -18.726 5
2 5502.408 0.148 1.806 0.345 0.492 10.151 1426.322 0.300 2.031 0.247 34.868 1357.753 0.1 1.992 5
2 5448.510 0.154 2.077 0.349 0.493 9.909 1479.707 0.302 2.012 0.247 34.855 1359.427 0.104 3.082 4
2 5446.103 0.138 1.807 0.345 0.492 10.154 1427.330 0.301 1.819 0.247 34.824 1357.320 0.099 -2.243 7
2 5727.460 0.146 2.001 0.350 0.496 10.148 1531.626 0.288 1.962 0.252 35.559 1275.157 0.15 1.917 4
2 5503.325 0.148 1.806 0.364 0.493 9.929 1473.881 0.305 2.041 0.246 34.914 1357.821 0.101 -1.887 5
2 5728.389 0.153 2.061 0.341 0.492 9.910 1519.627 0.300 2.020 0.253 35.371 1267.213 0.155 1.868 4
2 5536.473 0.154 2.030 0.343 0.492 9.917 1480.735 0.306 2.032 0.251 34.961 1350.418 0.107 2.968 4
2 5550.200 0.150 1.772 0.340 0.497 9.908 1482.738 0.287 2.028 0.243 35.209 1334.070 0.114 -3.673 5
2 5557.728 0.148 1.772 0.364 0.492 9.907 1482.784 0.281 2.022 0.257 35.374 1324.598 0.117 -4.204 5
2 5493.466 0.144 1.798 0.339 0.492 10.154 1425.584 0.295 1.821 0.248 34.856 1354.834 0.101 -2.316 6
2 5448.435 0.153 2.071 0.361 0.493 10.158 1476.122 0.302 2.021 0.247 34.945 1357.278 0.102 3.094 4
2 5535.497 0.148 1.774 0.343 0.478 9.908 1482.875 0.281 1.934 0.243 35.212 1345.779 0.113 -3.671 5
2 5804.840 0.144 2.006 0.346 0.492 9.911 1571.130 0.295 1.960 0.243 35.268 1238.881 0.174 1.842 4
2 5443.178 0.150 1.806 0.345 0.504 10.120 1422.847 0.287 1.819 0.247 34.825 1351.666 0.099 -2.179 6
