run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
2 4341.7 0.163 1.669 0.336 0.422 10.812 1507.795 0.329 1.964 0.278 35.049 1465.31 0.165 6.398 11
2 5521.72 0.113 1.439 0.315 0.382 10.963 1640.371 0.293 1.8 0.203 33.996 1503.878 0.28 -8.245 10
2 5751.917 0.14 2.167 0.354 0.523 9.937 1394.919 0.328 1.644 0.216 35.18 1560.239 0.178 4.14 10
2 6251.137 0.103 1.051 0.352 0.356 9.936 1962.164 0.409 2.006 0.262 34.355 1420.361 0.475 -13.8 9
2 6353.841 0.153 1.528 0.268 0.41 10.439 1406.75 0.305 1.633 0.276 32.806 1471.389 0.271 -5.705 10
2 5028.239 0.109 1.802 0.333 0.505 9.846 1593.212 0.298 2.032 0.237 34.042 1605.4 0.273 3.732 9
2 6062.403 0.139 1.205 0.304 0.491 11.303 1920.589 0.31 2.752 0.234 34.745 1374.431 0.433 -19.624 10
2 5832.554 0.157 2.045 0.362 0.429 11.734 1449.698 0.266 2.079 0.206 34.337 1462.576 0.176 4.425 12
2 5002.231 0.188 2.109 0.368 0.505 9.49 1942.234 0.436 1.645 0.252 31.757 1279.211 0.453 5.041 8
3 6004.843 0.151 1.19 0.28 0.406 11.952 1772.167 0.22 1.498 0.218 33.775 1253.497 0.405 -12.842 11
3 5551.451 0.131 1.563 0.277 0.578 11.931 1464.318 0.232 2.332 0.211 35.373 1496.21 0.227 -6.325 11
3 5836.32 0.125 1.813 0.285 0.528 9.912 1594.65 0.281 1.553 0.219 34.218 1238.909 0.224 -6.633 12
3 6207.268 0.104 1.528 0.368 0.397 8.834 1559.695 0.309 1.977 0.254 32.82 1215.933 0.307 -10.555 10
3 5582.167 0.17 2.338 0.326 0.463 10.843 1550.371 0.33 2.234 0.268 35.495 1365.943 0.169 5.435 12
3 5815.509 0.137 1.234 0.355 0.322 11.163 1869.559 0.403 1.974 0.299 33.581 1503.493 0.395 -10.212 9
3 5555.809 0.129 1.621 0.293 0.467 11.576 1365.719 0.329 1.711 0.28 33.297 1468.255 0.19 -2.579 12
3 6328.443 0.124 1.173 0.331 0.579 11.396 1741.926 0.29 1.393 0.202 32.795 1561.612 0.413 -13.252 11
3 5898.35 0.118 1.374 0.289 0.564 11.621 1629.039 0.309 1.185 0.218 33.395 1502.989 0.407 -11.093 10
3 6184.581 0.148 1.285 0.312 0.401 9.663 1597.119 0.35 2.033 0.27 33.971 1503.971 0.358 -9.379 9
3 5683.215 0.134 1.585 0.275 0.421 11.143 1700.808 0.225 1.427 0.208 35.543 1293.147 0.286 -10.386 12
3 4463.685 0.192 1.456 0.356 0.492 10.896 1768.246 0.304 1.294 0.251 35.061 1275.552 0.353 2.091 8
3 6194.146 0.134 1.407 0.35 0.431 8.66 1586.332 0.219 1.979 0.29 35.013 1775.325 0.296 -7.387 10
3 5628.702 0.149 2.578 0.343 0.502 11.553 1732.74 0.329 2.595 0.25 34.076 1268.088 0.298 6.399 8
3 5473.582 0.168 1.981 0.351 0.565 9.003 1439.264 0.258 1.929 0.202 33.918 1615.427 0.192 5.212 10
3 5769.623 0.159 1.619 0.354 0.387 8.061 1609.908 0.319 2.312 0.28 33.586 1773.666 0.226 3.082 11
3 6125.648 0.117 1.135 0.348 0.589 10.882 1632.542 0.4 1.36 0.245 35.143 1496.393 0.432 -13.735 10
3 6295.526 0.118 1.071 0.381 0.524 9.832 1494.481 0.311 1.166 0.257 34.776 1328.774 0.465 -15.241 11
3 6020.368 0.15 1.451 0.215 0.304 11.002 1895.903 0.302 1.143 0.216 32.968 1447.198 0.428 -11.338 10
3 5977.627 0.114 1.726 0.348 0.475 9.372 1601.777 0.261 1.579 0.207 35.548 1253.987 0.24 -9.221 11
3 5611.526 0.134 1.388 0.295 0.561 8.771 1776.383 0.338 1.691 0.23 34.706 1278.613 0.326 -10.615 12
3 4991.327 0.118 1.565 0.264 0.555 10.823 1646.403 0.282 1.971 0.247 34.561 1466.446 0.246 2.209 9
3 4626.235 0.141 1.921 0.315 0.391 9.968 1418.437 0.309 1.996 0.213 31.881 1293.194 0.218 7.921 9
3 6238.564 0.151 1.106 0.277 0.461 9.924 1539.287 0.227 1.501 0.221 33.111 1245.856 0.447 -14.075 10
3 6139.014 0.146 1.524 0.352 0.5 10.286 1485.707 0.23 1.565 0.294 33.529 1546.33 0.238 -7.237 10
3 5537.648 0.132 2.155 0.308 0.435 10.556 1344.775 0.343 1.748 0.266 34.064 1728.013 0.152 5.733 11
3 5724.1 0.177 1.809 0.351 0.578 9.656 1545.496 0.321 1.683 0.229 31.813 1697.42 0.18 4.782 11
3 4833.465 0.147 1.614 0.332 0.417 8.614 1550.128 0.325 2.366 0.212 35.299 1495.499 0.193 3.625 10
3 5722.452 0.127 1.817 0.384 0.569 11.846 1354.546 0.328 2.133 0.219 34.806 1719.572 0.185 3.239 12
3 5461.399 0.139 1.559 0.338 0.486 10.378 1466.593 0.352 2.402 0.278 35.171 1533.829 0.221 -3.8 12
3 5998.443 0.109 1.742 0.216 0.586 11.764 1897.187 0.242 2.438 0.219 31.823 1757.305 0.416 -17.786 12
3 4887.118 0.135 2.138 0.38 0.43 11.724 1411.794 0.281 2.306 0.249 34.415 1387.556 0.172 5.501 11
3 5216.731 0.122 2.098 0.323 0.491 10.521 1380.253 0.294 1.546 0.266 34.274 1278.416 0.227 3.175 10
3 4630.738 0.133 1.375 0.307 0.31 10.294 2064.934 0.295 1.538 0.298 35.408 1353.045 0.541 -16.811 11
3 5306.908 0.118 1.938 0.352 0.495 10.21 1346.908 0.311 1.216 0.294 33.261 1770.527 0.392 -1.513 8
3 6176.419 0.11 1.194 0.227 0.423 11.582 1449.123 0.333 1.775 0.204 35.411 1600.608 0.403 -13.237 12
3 6304.696 0.116 1.343 0.355 0.436 10.32 1493.667 0.21 2.142 0.295 34 1331.035 0.329 -11.051 11
3 6374.479 0.15 1.331 0.266 0.37 9.118 1597.791 0.301 2.938 0.248 33.069 1501.628 0.469 -9.804 8
3 5936.634 0.192 1.041 0.299 0.318 9.488 1407.646 0.453 1.563 0.231 34.382 1218.392 0.51 -20.444 12
3 5542.129 0.16 1.581 0.361 0.499 8.831 1473.459 0.202 1.329 0.253 33.305 1496.458 0.336 -6.779 9
3 5826.592 0.112 1.273 0.283 0.483 11.14 1826.857 0.222 1.988 0.263 35.01 1304.054 0.364 -12.774 11
3 5866.144 0.15 1.279 0.4 0.584 10.613 1362.95 0.246 1.622 0.289 34.43 1324.122 0.361 -11.281 11
3 6171.127 0.102 1.452 0.294 0.362 8.528 1535.501 0.402 1.345 0.238 33.546 1618.915 0.34 -11.551 12
4 6281.351  0.150  1.978  0.250  0.473  10.377  1766.967  0.281  2.002  0.247  33.388  1789.261  0.319 4.293 8
4 5502.779  0.172  1.725  0.313  0.491  9.886  1603.569  0.358  1.849  0.258  35.183  1221.385  0.197 -6.805 11
4 4952.185  0.131  1.834  0.357  0.459  8.222  1684.974  0.293  1.972  0.279  34.374  1348.254  0.257 -1.557 9
4 5986.609  0.130  1.617  0.372  0.432  11.659  1367.164  0.328  2.340  0.253  33.198  1495.304  0.197 -3.936 10
4 5696.591  0.150  1.453  0.345  0.563  10.063  1535.267  0.354  2.182  0.228  35.038  1285.221  0.273 -9.68 9
4 5685.953  0.175  2.016  0.328  0.515  9.425  1388.221  0.322  2.144  0.252  31.929  1357.636  0.167 5.281 10
4 6298.375  0.144  1.502  0.316  0.492  9.267  1631.534  0.366  1.550  0.265  35.306  1562.269  0.26 -9.722 11
4 6195.331  0.152  1.514  0.344  0.545  10.916  1825.743  0.308  2.179  0.202  33.193  1299.845  0.362 -10.644 9
4 4640.562  0.144  1.719  0.389  0.434  9.156  1446.632  0.256  1.857  0.271  35.448  1355.212  0.147 3.865 12
4 5904.096  0.125  1.075  0.328  0.508  11.110  1460.824  0.286  1.374  0.247  35.385  1484.738  0.463 -13.879 10
4 5847.580  0.157  1.886  0.306  0.561  11.783  1510.976  0.274  2.189  0.253  35.269  1483.053  0.178 2.756 11
4 6077.497  0.116  1.256  0.214  0.494  9.892  1997.699  0.292  1.172  0.217  32.337  1311.806  0.491 -13.887 10
4 6084.499  0.156  1.642  0.351  0.448  11.413  1592.877  0.240  1.517  0.256  31.924  1504.204  0.242 -7.919 10
