run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
1 5619.103 0.133 1.774 0.345 0.503 9.946 1499.272 0.297 1.790 0.243 35.395 1321.628 0.124 -5.588 8
1 5617.927 0.133 1.774 0.345 0.504 10.073 1499.272 0.297 1.790 0.251 35.395 1321.628 0.124 -5.488 7
2 6085.596 0.153 1.243 0.353 0.506 9.926 1481.345 0.310 2.005 0.252 31.726 1203.688 0.378 -19.477 4
2 5697.600 0.145 1.694 0.357 0.492 9.987 1456.322 0.295 1.727 0.252 34.923 1289.703 0.153 -18.974 7
2 5654.540 0.147 1.966 0.353 0.504 9.943 1569.596 0.299 2.004 0.251 31.758 1306.940 0.171 3.705 3
2 5588.276 0.147 1.962 0.347 0.501 9.932 1503.893 0.295 2.005 0.251 31.702 1315.959 0.123 4.236 3
2 5876.352 0.149 1.411 0.347 0.501 9.960 1514.658 0.304 1.915 0.250 31.736 1275.727 0.294 -18.854 5
2 5713.774 0.153 1.751 0.347 0.501 9.932 1504.360 0.299 2.000 0.253 34.928 1310.716 0.143 -18.696 5
2 5699.060 0.152 1.632 0.357 0.492 9.987 1456.322 0.295 1.727 0.252 34.923 1289.703 0.184 -18.956 6
2 6089.536 0.152 1.107 0.353 0.505 9.942 1384.874 0.294 2.009 0.252 35.160 1204.017 0.447 -21.158 5
2 6089.673 0.152 1.243 0.357 0.506 9.957 1468.524 0.310 1.609 0.252 34.940 1200.647 0.378 -19.972 6
2 5900.913 0.153 1.410 0.353 0.501 9.960 1514.449 0.295 1.968 0.251 31.755 1314.187 0.295 -18.701 4
2 5588.092 0.152 1.393 0.347 0.501 9.932 1503.662 0.299 2.013 0.247 34.928 1285.339 0.303 -19.663 5
2 5453.228 0.152 1.962 0.347 0.505 9.932 1503.893 0.299 2.017 0.251 34.868 1317.728 0.122 2.637 4
2 5627.544 0.152 1.747 0.353 0.502 9.932 1477.199 0.295 2.051 0.253 34.942 1314.194 0.126 -18.414 6
2 5454.816 0.147 1.802 0.353 0.505 9.942 1501.954 0.299 2.003 0.249 31.884 1318.095 0.121 -17.427 5
2 5641.834 0.152 2.001 0.353 0.502 9.932 1606.421 0.295 2.015 0.252 31.701 1201.993 0.199 -16.558 3
2 5453.350 0.147 1.791 0.347 0.501 9.933 1504.248 0.295 2.005 0.251 31.702 1315.959 0.123 -16.819 4
2 6074.862 0.152 1.191 0.347 0.506 9.012 1472.168 0.299 2.024 0.252 35.150 1318.895 0.404 -20.619 6
2 5454.816 0.147 1.962 0.347 0.505 9.942 1501.954 0.299 2.003 0.249 31.701 1318.239 0.121 55.172 3
2 6182.397 0.152 1.108 0.353 0.506 9.926 1481.345 0.309 1.970 0.252 31.726 1203.691 0.446 -19.734 4
2 5592.562 0.152 1.833 0.347 0.504 9.919 1482.318 0.289 2.013 0.247 34.980 1317.693 0.122 -18.369 6
2 6187.944 0.153 1.165 0.353 0.501 9.926 1504.360 0.309 2.000 0.253 34.928 1200.799 0.417 -20.579 5
2 5651.235 0.147 1.580 0.353 0.504 9.942 1503.065 0.299 2.004 0.251 31.758 1317.958 0.21 -17.882 4
2 5861.721 0.152 1.423 0.353 0.506 9.926 1481.300 0.294 1.970 0.252 31.726 1203.686 0.288 -18.233 4
2 5580.240 0.147 1.832 0.347 0.492 9.932 1453.118 0.295 2.013 0.251 34.819 1315.959 0.123 -18.375 5
2 5456.989 0.147 1.962 0.347 0.505 9.942 1501.954 0.299 2.003 0.249 34.773 1318.239 0.121 2.697 4
2 5731.626 0.152 1.389 0.346 0.501 9.931 1476.671 0.304 2.011 0.253 34.942 1285.108 0.305 -19.926 5
2 5443.704 0.153 1.778 0.347 0.501 9.933 1514.430 0.295 2.005 0.251 31.755 1314.080 0.13 -17.472 4
2 5456.505 0.147 1.934 0.347 0.491 9.927 1476.902 0.299 1.967 0.249 31.745 1333.684 0.111 4.285 4
2 5579.063 0.153 1.973 0.347 0.501 9.932 1503.893 0.295 2.005 0.252 31.727 1319.009 0.122 4.523 3
2 5645.205 0.149 1.200 0.347 0.506 8.994 1471.211 0.299 2.024 0.252 35.212 1317.852 0.4 -20.178 6
3 6150.784 0.116 1.253 0.279 0.334 10.955 1346.072 0.304 1.877 0.248 35.039 1735.808 0.374 -21.39 9
3 4991.398 0.151 2.022 0.353 0.492 10.014 1340.188 0.295 1.969 0.251 35.074 1283.576 0.144 3.091 2
3 5244.152 0.139 1.836 0.362 0.509 10.685 1458.715 0.321 1.772 0.248 35.040 1411.745 0.114 -5.053 10
3 6167.073 0.116 1.544 0.357 0.489 9.998 1342.320 0.306 2.027 0.247 34.218 1222.076 0.233 -19.998 5
3 5744.104 0.146 1.746 0.354 0.449 9.923 1463.627 0.303 2.037 0.248 34.318 1408.906 0.149 -18.643 7
3 5633.537 0.131 1.748 0.353 0.510 10.012 1502.227 0.296 1.780 0.251 34.772 1337.263 0.127 -8.114 7
3 5656.463 0.130 1.728 0.345 0.503 10.012 1341.052 0.292 1.785 0.252 34.877 1362.721 0.136 -7.844 6
3 5620.604 0.151 1.687 0.352 0.493 9.960 1346.109 0.290 2.036 0.248 35.019 1293.703 0.156 -19.167 4
3 5244.317 0.139 1.837 0.353 0.535 10.739 1453.723 0.304 2.054 0.251 34.516 1364.332 0.09 -2.879 9
3 5244.676 0.139 1.837 0.352 0.508 10.537 1453.735 0.297 1.880 0.248 34.285 1380.610 0.085 -0.645 8
3 4992.492 0.151 1.985 0.357 0.497 10.013 1345.596 0.302 2.026 0.251 35.006 1368.058 0.104 3.62 2
3 5226.685 0.151 1.778 0.353 0.509 10.002 1455.809 0.290 1.999 0.248 34.810 1335.034 0.111 -2.354 5
3 5227.790 0.152 1.836 0.354 0.510 10.001 1466.825 0.290 1.999 0.248 35.036 1409.470 0.105 -1.179 5
